"confirmed_date","cases","mort"
2020-01-20,1,NA
2020-01-24,1,NA
2020-01-26,1,NA
2020-01-27,1,NA
2020-01-30,3,NA
2020-01-31,4,NA
2020-02-01,1,NA
2020-02-02,3,NA
2020-02-04,1,NA
2020-02-05,5,NA
2020-02-06,3,NA
2020-02-09,3,NA
2020-02-10,1,NA
2020-02-16,2,NA
2020-02-18,9,NA
2020-02-19,27,1
2020-02-20,38,NA
2020-02-21,100,1
2020-02-22,229,1
2020-02-23,169,4
2020-02-24,231,2
2020-02-25,143,2
2020-02-26,287,1
2020-02-27,504,1
2020-02-28,571,NA
2020-02-29,812,NA
2020-03-01,1062,4
2020-03-02,600,3
2020-03-03,516,1
2020-03-04,438,4
2020-03-05,518,6
2020-03-06,483,1
2020-03-07,367,1
2020-03-08,248,NA
2020-03-09,131,3
2020-03-10,242,NA
2020-03-11,114,NA
