confirmed_date,month,day,cases,deaths
20/01/2020,1,20,1,NA
24/01/2020,1,24,1,NA
26/01/2020,1,26,1,NA
27/01/2020,1,27,1,NA
30/01/2020,1,30,3,NA
31/01/2020,1,31,4,NA
01/02/2020,2,1,1,NA
02/02/2020,2,2,3,NA
04/02/2020,2,4,1,NA
05/02/2020,2,5,5,NA
06/02/2020,2,6,3,NA
09/02/2020,2,9,3,NA
10/02/2020,2,10,1,NA
16/02/2020,2,16,2,NA
18/02/2020,2,18,9,NA
19/02/2020,2,19,27,1
20/02/2020,2,20,38,NA
21/02/2020,2,21,100,1
22/02/2020,2,22,229,1
23/02/2020,2,23,169,4
24/02/2020,2,24,231,2
25/02/2020,2,25,143,2
26/02/2020,2,26,287,1
27/02/2020,2,27,504,1
28/02/2020,2,28,571,NA
29/02/2020,2,29,812,NA
01/03/2020,3,1,1062,4
02/03/2020,3,2,600,3
03/03/2020,3,3,516,1
04/03/2020,3,4,438,4
05/03/2020,3,5,518,6
06/03/2020,3,6,483,1
07/03/2020,3,7,367,1
08/03/2020,3,8,248,NA
09/03/2020,3,9,131,3
10/03/2020,3,10,242,NA
11/03/2020,3,11,114,NA
